station_id,lng,lat,date,PM2.5,row_index,col_index,proj_x,proj_y,dem,w10,d10,t2m,sp,tp,blh,e,r,u10,v10,aod_sat,ndvi
1086A,112.5369,37.8692,20170930,59.01785714285714,2521.0,6254.0,1401684.5496889006,1072179.322617581,788,0.2056222707033157,9.464054107666016,291.1790466308594,90985.3984375,0.0002190077502746,66.96060180664062,-5.565028459386667e-06,60.882205963134766,0.0338092483580112,0.2028236985206604,0.4296835660934448,1968
1087A,112.57,37.8195,20170930,59.05357142857143,2529.0,6259.0,1405376.2520207795,1066708.0299980517,786,0.2357936799526214,201.9163818359375,291.37066650390625,91141.90625,0.0001784785708878,71.88179016113281,-5.7839702094497625e-06,60.44458770751953,-0.0880082324147224,0.218753769993782,0.47269406914711,1889
1088A,112.549,37.9854,20170930,59.55357142857143,2502.0,6256.0,1400132.1166841032,1086251.9171368892,822,0.3550628423690796,8.795571327209473,291.0525817871094,91007.203125,0.0002470048202667,59.900909423828125,-5.005347702535801e-06,61.75482177734375,0.0542908422648906,0.3508876264095306,0.4551171064376831,4678
1089A,112.488,37.7805,20170930,53.0,2535.0,6246.0,1399725.9250979184,1060873.396802097,787,0.1630730032920837,67.54022979736328,290.8077697753906,90136.6640625,0.0002299453335581,69.46339416503906,-5.944404165347805e-06,60.31242752075195,0.1507014334201812,0.0623047687113285,0.4257083535194397,2558
1090A,111.651,40.7579,20170930,26.517857142857142,2059.0,6112.0,1272205.141415575,1406838.2924259375,1032,0.4570832252502441,272.90496826171875,289.1737365722656,88934.6328125,0.0008375197649002,118.60596466064452,-8.542427167412825e-06,47.16983795166016,-0.4564969539642334,-0.023142971098423,0.2998785674571991,2988
1091A,111.658,40.8033,20170930,26.62962962962963,2052.0,6113.0,1271799.1821574834,1412395.0289789485,1047,0.3624313771724701,289.0721435546875,289.0757141113281,88649.1796875,0.0008871726458892,125.44923400878906,-8.259962669399101e-06,47.07919692993164,-0.3425433933734894,-0.1184083521366119,0.3573633730411529,3026
1092A,111.659,40.8452,20170930,34.092592592592595,2045.0,6113.0,1271011.1703736826,1417452.956787858,1065,0.290091723203659,305.0182189941406,288.4730834960937,87576.03125,0.0009349518222734,132.3848419189453,-7.968648787937127e-06,46.97430038452149,-0.2375870496034622,-0.1664499938488006,0.3647996187210083,3056
1093A,111.608,40.8144,20170930,36.03846153846154,2050.0,6105.0,1267790.1867455556,1413085.4135992068,1053,0.3431622982025146,301.3778076171875,288.72320556640625,87993.2421875,0.0009254232863895,128.169189453125,-8.105826964310836e-06,46.93308639526367,-0.2929868698120117,-0.1786590218544006,0.3081443905830383,2107
1094A,111.751,40.8369,20170930,31.94,2046.0,6128.0,1278134.4550458663,1417647.0342125262,1068,0.2737320065498352,284.4613952636719,288.844482421875,88232.8125,0.0008488526800647,130.11300659179688,-8.126011380227283e-06,47.20659255981445,-0.2650627791881561,-0.0683442056179046,0.2999065518379211,2697
1095A,111.7277,40.8062,20170930,26.464285714285715,2051.0,6124.0,1277009.1978736666,1413648.1735191965,1054,0.3392306268215179,278.1026916503906,289.1255798339844,88732.96875,0.000839740212541,125.42475128173828,-8.315822014992591e-06,47.22359085083008,-0.3358465135097503,-0.0477968193590641,0.2917474210262298,3574
1096A,111.551,40.7866,20170930,35.44642857142857,2054.0,6096.0,1264049.6348043713,1409003.4309673298,1061,0.3508432805538177,301.97027587890625,288.70166015625,87855.890625,0.0008813340682536,125.03699493408205,-8.192625500669237e-06,46.86433792114258,-0.2976400852203369,-0.1857454925775528,0.3222158849239349,3254
1097A,111.717,40.7612,20170930,25.44642857142857,2058.0,6123.0,1277130.917214611,1408091.7651708913,1043,0.4544882774353027,263.7493896484375,289.1845703125,88939.6484375,0.000803752511274,118.58104705810548,-8.598172826168593e-06,47.31196594238281,-0.4517843127250671,0.0495028868317604,0.3207696378231048,3020
1098A,123.6836,41.9339,20170930,15.178571428571429,1871.0,8037.0,2129556.9804676403,1755591.9995222648,125,1.935392022132873,190.12322998046875,289.6651306152344,100053.75,0.0027467713225632,221.5626678466797,-1.0312397535017226e-05,67.1956787109375,-0.340165376663208,1.9052636623382568,0.450039267539978,6554
1099A,123.535,41.7561,20170930,24.57142857142857,1899.0,8014.0,2125064.2610081304,1731543.1780614024,52,1.9398552179336548,194.5915679931641,289.8939819335937,100507.0703125,0.0025198271032422,204.99632263183597,-8.803579476079904e-06,65.13684844970703,-0.4886878132820129,1.877291321754456,0.4723890721797943,4069
1100A,123.439,41.7089,20170930,21.5,1907.0,7998.0,2119763.498432587,1723938.0920975024,44,1.916046142578125,193.9201202392578,290.0036315917969,100667.46875,0.0024798072408884,206.0448303222656,-8.81964479049202e-06,64.1572494506836,-0.4609275758266449,1.8597791194915767,0.5676145553588867,3611
1102A,123.542,41.8336,20170930,21.14814814814815,1887.0,8015.0,2122856.063759939,1740776.0912912274,56,1.961500644683838,192.337646484375,289.8957824707031,100485.921875,0.0026155752129852,212.7747039794922,-9.011929250846151e-06,65.29682159423828,-0.4191064238548279,1.9162031412124636,0.4626012742519378,4473
1103A,123.428,41.8472,20170930,19.38888888888889,1885.0,7996.0,2114140.964719078,1739912.2245709177,50,1.9652167558670044,189.66688537597656,289.9389343261719,100615.2734375,0.0025816692505031,219.72515869140625,-8.834622349240817e-06,63.84986877441406,-0.3299889862537384,1.937313675880432,0.4557799100875854,6928
1104A,123.41,41.765,20170930,24.092592592592588,1898.0,7994.0,2115706.350295917,1729888.8204690842,43,1.9283300638198853,191.5691375732422,289.9765319824219,100664.7265625,0.0025322122965008,212.600341796875,-8.788045306573622e-06,63.57449722290039,-0.386715680360794,1.8891552686691284,0.5475549697875977,3721
1105A,123.478,41.7775,20170930,20.11111111111111,1896.0,8004.0,2120191.0304577868,1732819.7009249916,48,1.9416594505310056,192.7758636474609,289.9390869140625,100592.0234375,0.0025502780918031,209.2014923095703,-8.787375918473117e-06,64.2921371459961,-0.4293616116046905,1.8935917615890503,0.5375012755393982,3563
1106A,123.3997,41.7972,20170930,23.910714285714285,1893.0,7992.0,2113838.331602913,1733441.8707491278,47,1.935341715812683,190.2860565185547,289.95953369140625,100656.09375,0.0025525109376758,216.5833282470703,-8.805382094578817e-06,63.48929977416992,-0.345569908618927,1.9042397737503047,0.5163331627845764,2265
1108A,123.3783,41.9228,20170930,24.07142857142857,1872.0,7989.0,2107914.5938606244,1747707.9348952635,48,1.9982197284698489,186.25672912597656,289.9571533203125,100623.8515625,0.0025511637795716,230.5730743408203,-8.857966349751223e-06,63.51796722412109,-0.2177671045064926,1.9863181114196775,0.4694028496742248,4857
1109A,121.6119444,38.97388889,20170930,22.214285714285715,2344.0,7706.0,2076360.890761116,1364078.9857954578,23,1.811506509780884,5.269280910491943,294.930908203125,100868.4921875,0.0006374915246851,439.7756652832031,-0.0001307666971115,71.51107788085938,0.1663579046726226,1.8038517236709597,0.5194690823554993,4161
