station_id,lng,lat,date,PM2_5,row_index,col_index,proj_x,proj_y,dem,w10,d10,t2m,sp,tp,blh,e,r,u10,v10,aod_sat,ndvi
1685A,110.4558,21.2567,20170601,25.92837079,5179,5921,1545062.979,-899235.8645,6,1.857905626,258.0644226,295.9324951,101128.1875,0.003109846,320.9769592,-1.92166e-05,81.33553314,-1.817723632,0.384310037,0.460234612,3938
1686A,111.0286,21.4689,20170601,20.53975535,5145,6013,1597876.796,-866079.9479,10,2.114904881,261.5062256,296.0270996,101157.7344,0.002491188,339.5609741,-3.8719e-05,80.32311249,-2.091695547,0.312462777,0.447047234,4687
1687A,110.9294,21.6533,20170601,25.79741379,5116,5997,1584662.127,-846822.8131,25,1.499594092,257.2289429,295.6622925,100974.1484,0.003086019,263.2003784,-1.80007e-05,80.44173431,-1.462482691,0.331552088,0.464969575,3127
1688A,110.9067,21.6669,20170601,30.53888889,5113,5993,1582172.246,-845648.9609,18,1.438597679,256.0663147,295.6444397,100975.0938,0.003137077,258.7303162,-1.74419e-05,80.34757233,-1.396253467,0.346467406,0.46733588,3044
1689A,110.8592,21.6828,20170601,29.20142857,5111,5985,1577195.653,-844612.331,16,1.385302186,254.2406921,295.6589355,101002.3594,0.003173307,258.4579773,-1.73949e-05,80.11118317,-1.333215833,0.376294553,0.473231673,4321
1690A,116.1278,24.3289,20170601,23.67318436,4687,6828,2028900.049,-447698.4233,113,0.257462442,284.8291931,294.0529785,99295.8125,0.001944559,188.3181458,-1.22597e-05,73.48175812,-0.248890728,-0.065881118,0.459909528,4205
1691A,116.0797,24.2719,20170601,25.39915966,4697,6821,2025761.598,-455159.1549,86,0.276028544,279.0545654,293.9372253,98807.10938,0.001931621,195.1190643,-1.26219e-05,72.89041138,-0.272591144,-0.043426152,0.451126069,3202
1692A,116.1248,24.2654,20170601,28.63611111,4698,6828,2030189.843,-454965.8425,100,0.282169163,269.8446045,293.9444885,98899.23438,0.001918752,188.7090302,-1.22029e-05,73.30332947,-0.28216809,0.000778423,0.460862756,3725
1696A,114.6778,23.7569,20170601,27.04225352,4779,6596,1904794.086,-541658.8868,55,0.586523652,328.3630066,293.8779907,99595.33594,0.002593908,228.8796234,-3.0584e-05,76.98720551,-0.30769074,-0.499335945,0.47852692,4106
1697A,114.6944,23.7586,20170601,29.19382022,4779,6599,1906340.171,-541143.9331,44,0.585864961,327.2789001,293.8950195,99774.74219,0.002589757,229.3222809,-3.0059e-05,76.90437317,-0.316726774,-0.492871106,0.48905459,2415
1698A,114.6892,23.7233,20170601,26.02240896,4784,6598,1906657.589,-545252.5687,41,0.588151395,325.039978,293.8720093,99512.89063,0.002575225,228.3772736,-2.95643e-05,76.69662476,-0.337049514,-0.481995523,0.480994403,3684
1699A,111.9786,21.8586,20170601,30.71428571,5083,6165,1683977.545,-806139.3198,7,1.113238335,283.3474731,295.2257996,100886.5938,0.003165407,275.5071106,-2.15077e-05,79.97473907,-1.083181143,-0.256940007,0.481696308,2688
1700A,111.9508,21.8536,20170601,31.69088319,5084,6160,1681346.256,-807180.964,5,1.098488212,283.7192383,295.1897583,100760.6328,0.003157079,273.6459961,-2.29671e-05,79.90969849,-1.067161798,-0.260464817,0.473783463,3536
1701A,111.9494,21.865,20170601,26.47058824,5082,6160,1680984.09,-805915.3515,7,1.071486354,284.2114258,295.1596985,100740.5781,0.003178635,269.3141479,-2.20186e-05,79.99268341,-1.038709164,-0.262994945,0.478349328,2977
1702A,113.0425,23.6936,20170601,32.96374622,4789,6335,1749702.687,-579268.56,13,0.692171037,314.6259155,294.2069092,100369.0625,0.003248555,205.5150757,-1.60127e-05,75.4809494,-0.492657781,-0.486198574,0.563162804,2971
1703A,113.0208,23.7106,20170601,33.74147727,4786,6331,1747262.832,-577718.6276,13,0.679115951,314.8795776,294.085083,100132.6953,0.003314191,203.4927063,-1.59598e-05,75.82136536,-0.481249064,-0.479163617,0.576182544,2985
1705A,116.6339,23.6714,20170601,29.08888889,4793,6909,2093378.022,-511547.168,17,0.72311306,272.6368408,294.2747498,101239.7188,0.002698529,203.0926514,-1.7308e-05,81.17048645,-0.722348988,-0.033232827,0.430449426,2247
1706A,116.6447,23.6706,20170601,26.14225352,4793,6911,2094426.362,-511407.434,18,0.73642844,273.4875793,294.2312317,101088.9766,0.002700813,204.9089661,-1.76273e-05,81.18883514,-0.735066712,-0.044763103,0.412502825,2242
1708A,116.3697,23.5353,20170601,30.43258427,4814,6867,2071619.981,-532528.3935,8,0.602673233,262.4718018,294.2104187,100526.625,0.002467811,201.5692596,-1.58238e-05,79.18592834,-0.597475111,0.078984156,0.426376343,1827
1709A,116.3242,23.5486,20170601,32.28,4812,6860,2066947.195,-531983.3618,6,0.560389459,259.8047485,294.1719666,100519.0156,0.002483285,190.9488068,-1.40494e-05,79.04416656,-0.551536977,0.099213406,0.436569273,2131
1710A,116.3594,23.5739,20170601,28.48587571,4808,6865,2069673.629,-528382.5837,31,0.57477802,259.56604,294.0877686,100362.9063,0.00251438,191.7503662,-1.44238e-05,79.42962646,-0.565269351,0.104116783,0.442840546,2550
