监测点编码,监测点名称,城市,经度,纬度,date,PM2_5,row_index,col_index,proj_x,proj_y,dem,w10,d10,t2m,sp,tp,blh,e,r,u10,v10,aod_sat,ndvi,id
1382A,长江旅游区,中山,113.4411,22.4853,20170601,37.20505618,4982,6399,1813946.72,-709203.02,58,0.897511721,253.7532501,295.2511292,100724.7031,0.002844854,302.9868774,-4.00436e-05,76.9348526,-0.861660779,0.251133561,0.514138818,5930,320
1606A,新生街道,盘锦,121.835,41.1042,20170601,29.90948276,2003,7742,2023224.622,1619100.758,2,0.677488744,24.92010117,282.0646057,101638.8203,0.000876145,302.4534607,-1.18073e-05,51.40505981,0.28545469,0.614415646,0.594777703,4209,454
2660A,区环保局,庆阳,107.6831,35.7289,20170601,28.02793296,2863,5477,1049711.082,755084.3459,1372,0.443602949,192.6305237,283.2072449,87041.35156,0.000973954,214.7493896,-8.46936e-06,57.25603104,-0.096996769,0.43286857,0.457609594,3233,1276
2001A,第二实验小学,江阴,120.302,31.92,20170601,56.37743733,3473,7496,2193513.676,512951.7971,5,1.046705961,260.4523926,288.3370056,101629.8203,0.002056117,284.5577698,-2.28534e-05,70.74123383,-1.03219986,0.173656955,0.743012309,2689,800
1137A,道里建国路,哈尔滨,126.593,45.7478,20170601,37.80972222,1260,8503,2190785.417,2264990.9,125,1.233011007,48.54213715,275.9775391,99857.80469,0.000717233,211.4166107,-6.93665e-06,61.31793594,0.924050808,0.816361547,0.415853322,1449,118
1804A,茅山头,九江,115.9581,29.7048,20170601,43.60306407,3827,6801,1879154.198,166102.221,15,0.904241383,300.8624878,290.1009216,100838.0078,0.00316569,233.4998932,-3.1819e-05,74.71866608,-0.776230514,-0.463808835,0.697830498,1723,624
2180A,机引,忻州,112.7356,38.4186,20170601,59.60806916,2433,6286,1405400.437,1140755.144,789,0.404523879,38.41837692,282.6290588,91183.39844,0.001036057,105.0215073,-2.69457e-06,52.31288528,0.25136447,0.316947103,0.49778372,1960,845
1118A,双D港,大连,121.9769,39.0631,20170601,25.05477528,2330,7764,2101175.915,1382302.305,22,0.332625717,119.8187866,283.7857971,101264.1484,0.000470483,433.2407532,-7.18987e-05,61.11878967,0.288597077,-0.16538316,0.610258937,5345,100
2428A,武当山,十堰,111.0419,32.395,20170601,29.91477273,3397,6015,1390732.183,399611.1341,906,0.581072748,209.7067719,286.7265625,94688.42188,0.001876009,142.3296661,-9.13777e-06,74.19376373,-0.287949502,0.504708469,0.753336906,5870,1066
1192A,东亭,无锡,120.354,31.5848,20170601,47.23011364,3527,7505,2208148.792,475361.1,5,1.360104203,265.8167725,289.0026855,101634.0,0.001826354,315.2738647,-4.04245e-05,70.69758606,-1.356476307,0.099274106,0.731728971,2739,166
2341A,宁德市监测站,宁德,119.5392,26.6611,20170601,26.51523546,4314,7374,2282844.531,-107819.6424,27,0.323870301,312.7493896,290.3966675,97258.63281,0.003693326,199.8421326,-1.9882e-05,84.31491852,-0.237842545,-0.219824672,0.479809284,2961,991
1662A,华夏技校,威海,122.1206,37.4294,20170601,27.61864407,2591,7787,2166234.705,1194199.033,49,0.803479731,62.70717239,285.1461182,101083.7813,0.000853198,471.1765137,-6.81902e-05,66.57131958,0.714020133,0.368449271,0.591804385,3925,501
2230A,铁路,通化,125.9486,41.7381,20170601,30.97625698,1902,8400,2299752.038,1783789.329,390,0.599119246,12.36921501,276.0752563,95206.01563,0.001151769,219.2610016,-6.0522e-06,71.61951447,0.128333911,0.585213006,0.49060452,2644,891
2657A,博物馆,平凉,106.7039,35.5294,20170601,29.01532033,2895,5321,971934.4402,721072.8172,1353,0.850659192,70.81289673,280.9185181,84059.26563,0.001216197,195.6702728,-6.19449e-06,60.79110718,0.803395152,0.279601902,0.437777847,2564,1273
