weight_dem,weight_w10,weight_d10,weight_t2m,weight_aod_sat,weight_tp,bias,Pred_PM2_5,id
-11.349393,8.235007,-0.2434515,31.122496,13.205825,-12.148143,14.036157,37.415447,1156
-2.5847983,-2.564238,-0.19817393,3.1120584,50.694523,1.7359045,3.5348482,26.507725,539
-6.577403,-11.250277,-0.77566135,12.150284,69.53278,-68.119354,20.346603,22.038433,911
-5.029294,6.5352955,-0.10706096,5.9455805,54.623737,-8.005816,3.840818,35.370766,218
-2.5919452,-4.01831,-0.22201598,2.1447532,50.481438,6.959964,2.4397945,28.829258,526
20.868454,-55.50763,-0.40902796,11.079736,138.09293,-73.02843,25.324146,39.36144,1306
-6.0220957,-10.498137,-0.6974742,8.4373,69.88289,-63.005756,19.189104,18.6274,914
-8.304438,3.3142853,-0.29955947,21.608053,13.217594,-1.7700871,13.540613,41.62467,1162
-10.330605,6.254594,-0.40166485,-21.110697,67.786285,-13.935526,8.969104,27.654404,107
-11.827121,7.1610403,-0.26609248,7.8747997,42.334415,-16.225502,22.557663,52.118576,930
-19.60377,1.0291373,-0.5096852,27.870598,-1.6137779,-30.174192,48.602215,55.830894,649
5.7681084,0.34027955,0.0475579,9.907672,35.775276,13.316517,19.80871,33.738297,1270
-11.25762,8.680248,-0.3930065,-23.485283,67.38133,-6.786347,6.8776016,28.727926,892
-9.40971,12.658528,-0.073485136,-24.200178,91.03427,13.480154,-14.219875,24.828777,781
-6.459942,7.050906,-0.09424491,-2.1535616,65.59394,9.817074,-7.1817145,36.41199,130
-21.35465,-3.0383308,-0.56883204,34.301292,-5.642626,-32.720356,53.39875,62.351067,633
-7.2232947,6.058457,-0.02811039,-12.352349,74.789734,-2.2883441,-3.0165384,22.069881,567
-8.5875225,9.315809,-0.028828206,-17.337059,95.154915,7.5956993,-15.883971,33.235916,766
-9.167782,-0.026298571,-0.15321544,13.058849,39.82593,2.1803546,9.573247,48.113777,10
-19.623175,1.00556,-0.51031315,27.93263,-1.6583694,-30.243008,48.644306,55.85884,648
-2.9739833,7.3663797,0.09416621,28.584606,26.15084,1.5797555,13.210875,35.432526,858
-9.847955,-4.047495,-0.14116685,28.493176,37.10569,-2.135508,11.777945,26.46407,1392
-19.75932,-3.7160935,-0.56045556,29.0448,-8.297945,-26.897894,55.86124,62.192463,1039
-17.775305,3.3477302,-0.4544108,26.883604,9.518801,-27.069448,37.726643,50.61031,1088
-9.5950985,12.825418,-0.079906985,-24.8297,90.408195,13.510835,-13.572345,25.913157,501
-6.258085,-11.577151,-0.7549277,11.416704,69.98616,-68.07821,20.414062,22.329134,907
-8.586868,9.873483,-0.02396931,-18.839903,96.75428,7.5395427,-16.49364,32.936905,770
-19.93566,-10.183764,-0.535764,40.43503,15.7787075,-19.24475,42.457905,58.82996,73
-1.992404,-4.67373,-0.23450285,0.36493543,52.82282,10.467558,0.6208852,32.048218,318
-9.471021,0.05796291,-0.3580535,23.358303,4.151937,1.7097036,22.249165,44.11915,429
-11.066626,6.136539,-0.29242584,18.581059,31.194693,-18.483463,20.366467,41.14174,625
-9.150991,3.2360713,-0.12752993,3.234232,53.925488,2.1226554,5.673026,49.650024,1330
-21.745638,-0.85333,-0.42608565,47.62431,31.037949,-29.981394,25.163195,53.928333,727
-10.3257265,3.8148062,-0.20946927,-0.050511494,48.210205,-3.39465,18.476873,51.474174,463
-3.830937,2.5706687,-0.27199405,12.8950815,43.146423,3.0222783,5.5304723,23.558783,1198
-19.982677,-2.1591125,-0.54828084,28.74651,-7.1816463,-28.809078,54.223045,59.45001,269
-9.761228,12.621269,-0.07768548,-25.536371,91.50908,9.2616415,-11.746986,27.740559,92
-5.8967257,14.142285,-0.012728524,35.209347,11.561481,-6.572295,21.66729,43.792847,406
-15.674301,2.8131762,-0.40970725,17.067427,11.639464,-17.09782,40.721638,55.95953,1058
-17.9777,3.061327,-0.45617238,24.82619,5.934696,-26.29844,42.25954,53.534588,1059
-9.743797,-2.8180082,-0.11260996,32.70801,37.312305,-2.550114,10.992591,32.44268,77
-10.292813,7.9172883,-0.24559328,13.381255,42.690742,-21.037804,17.592224,45.428085,951
-13.736503,2.4402728,-0.34788597,10.606563,22.248404,-9.867946,35.112823,57.67969,493
-6.4344387,-1.9333076,-0.3695922,18.344042,0.031444136,13.150732,17.135483,36.307213,1208
-7.377475,7.7142277,-0.102077514,-2.2291052,67.54821,-8.934037,2.161404,45.407383,175
-6.2324924,7.136672,-0.08790951,-0.7072214,66.341255,0.040350337,-3.6295156,42.863235,146
-6.4525957,7.038253,-0.09531609,-2.1626995,65.44103,10.202041,-7.25346,36.27536,131
-20.247936,1.7264429,-0.5236699,32.04337,4.184455,-31.336325,41.959686,51.73956,1067
-13.394644,1.8755916,-0.40601695,26.115524,7.474568,-11.218011,28.278452,46.471355,668
-8.107463,6.149594,-0.2692945,23.838978,22.722895,-4.6434865,12.618598,47.73649,365
-10.737516,7.920537,-0.2413505,10.329244,44.583134,-18.611174,18.69454,50.591217,233
11.074023,-23.22222,-0.26421255,0.75790507,90.69235,-26.370214,15.870119,19.883917,387
-2.5758765,-2.6113033,-0.19888073,3.0641057,50.84,1.8442656,3.4591722,26.088432,538
-16.541769,-7.314231,-0.37892598,38.409615,28.769772,-9.193433,25.604973,40.382347,836
