coef_dem,coef_w10,coef_d10,coef_t2m,coef_aod_sat,coef_tp,bias,Pred_PM2_5,id,dataset_belong,denormalized_pred_result
-23.60952,-10.437673,-0.12966838,7.8444314,36.405575,8.183895,16.583944,24.421268,1199,train,24.421268
-64.65131,25.36707,-0.1770045,34.666977,4.146895,-14.830499,22.539173,47.346592,964,train,47.346592
-68.737206,26.343882,-0.14677057,6.2310824,-10.145991,-3.1697607,40.53997,38.953133,1098,train,38.953133
-32.02473,-14.647295,-0.1160875,2.274983,59.526745,-3.4967625,10.892091,32.518772,320,train,32.518772
-42.99399,-11.831423,-0.13539463,32.567753,7.4373736,-31.095179,37.142956,50.582485,54,train,50.582485
-50.10607,8.719617,-0.11351668,24.22179,45.127922,-6.647843,-4.5666623,35.10315,222,train,35.10315
-108.014275,-19.142717,-0.2546956,28.599203,-7.9925222,-25.210995,54.558983,49.538635,662,train,49.538635
-141.43901,-17.972494,-0.2886406,19.98192,-5.1733203,-57.41878,87.202614,65.06824,390,train,65.06824
-10.057191,-18.492224,-0.16530173,-24.49964,64.316086,8.65845,24.965958,10.3665085,1244,train,10.3665085
-85.36144,24.740616,-0.1616613,24.019333,-18.453197,2.7537339,30.863321,41.287113,284,train,41.287113
-11.030523,14.91091,-0.10033417,-33.007168,79.44294,23.992857,-3.7438698,33.407322,578,train,33.407322
-48.97227,9.60016,-0.117566355,12.485255,23.841139,0.48883882,14.056288,38.022095,675,train,38.022095
-69.65892,-24.979843,-0.22414225,27.216497,-18.651081,-49.32366,80.6113,64.21945,24,train,64.21945
-65.346634,12.773254,-0.15550338,2.2409582,21.355833,-17.458895,29.955341,30.946901,1158,train,30.946901
-46.14138,11.418938,-0.1980403,17.410582,32.277927,-37.206226,29.913282,54.11203,1061,train,54.11203
-86.38586,-14.974722,-0.18290734,43.70424,64.40061,-26.89083,-9.445558,31.929548,993,train,31.929548
-10.790459,14.60928,-0.12198762,-43.89465,92.28955,33.439526,-9.160088,34.817787,892,train,34.817787
